Country,Values
Afghanistan,1625771
 Albania,205670
 Algeria,497176
 American Samoa,3
 Angola,1295663
 Anguilla,0
 Argentina,14157992
 Armenia,7144
 Australia,331969
 Austria,61616
 Azerbaijan,1840300
 Bahamas,1000
 Bangladesh,328170488
 Barbados,310
 Belarus,92000
 Belgium,6725
 Belize,77600
 Benin,3193547
 Bhutan,1600
 Bolivia,4142059
 Bosnia and Herzegovina,1345099
 Botswana,178584
 Brazil,19983272
 Bulgaria,60642
 Burkina Faso,713909
 Burundi,226908
 Cabo Verde,150
 Cambodia,13738404
 Cameroon,414668
 Canada,236723
 Canary Is,730
 Central African Republic,235771
 Chad,1744079
 Chile,1283277
 China,2084994892
 Colombia,16377455
 Comoros,67637
 Congo,452114
 Costa Rica,766588
 Croatia,15512
 Cuba,1081951
 Czech Republic,1622332
 Czechoslovakia,0
 Dem.Rep.Congo,1116815
 Dem.Rep.Korea ,13666860
 Djibouti,1049300
 Dominican Rep,4358965
 Ecuador,1972277
 Egypt,254898
 El Salvador,436741
 Eritrea,7013
 Ethiopia,4559030
 Fiji,246825
 Finland,400
 France,105157
 French Guiana,70139
 French Polynesia,5004
 Gabon,87845
 Gambia,113469
 Georgia,164442
 Germany,544474
 Germany Fed Rep,3512
 Ghana,4991412
 Greece,23924
 Grenada,0
 Guadeloupe,0
 Guatemala,1127175
 Guinea,530546
 Guinea-Bissau,58542
 Guyana,821048
 Haiti,945349
 Honduras,1808000
 Hong Kong,37127
 Hungary,238865
 Iceland,280
 India,885604200
 Indonesia,12339372
 Iran,14360616
 Iraq,170876
 Ireland,4700
 Israel,1000
 Italy,1402199
 Jamaica,901712
 Japan,2485997
 Jordan,18093
 Kazakhstan,184547
 Kenya,4553062
 Kiribati,305
 Korea,2507212
 Kuwait,200
 Kyrgyzstan,21623
" ""Lao Peoples Democratic Republic (the)""",5003611
 Lebanon,18500
 Lesotho,185000
 Liberia,53841
 Libya,22030
 Lithuania,0
 Luxembourg,0
 Macedonia,254923
 Madagascar,296456
 Malawi,3841222
 Malaysia,1274214
 Maldives,3749
 Mali,308958
 Marshall Islands,960
 Mauritania,236901
 Mauritius,82
 Mexico,4987365
 Micronesia,0
 Moldova,51957
 Mongolia,58232
 Montenegro,7886
 Morocco,519246
 Mozambique,10019929
 Myanmar,5495467
 Namibia,1103353
 Nepal,5715722
 Netherlands,15000
 New Zealand,35317
 Nicaragua,708972
 Niger,3388019
 Nigeria,12677828
 Norway,6100
 Oman,300
 Pakistan,80631337
 Palestine,14500
 Panama,212768
 Papua New Guinea,645043
 Paraguay,1979727
 Peru,6176356
 Philippines,33876224
 Poland,368967
 Portugal,52434
 Puerto Rico,12885
 Qatar,1500
 Romania,1640474
 Russia,2404844
 Rwanda,2040563
 Saint Kitts and Nevis,0
 Saint Lucia,21984
 Saint Vincent and the Grenadines,44049
 Samoa,0
 Saudi Arabia,33067
 Senegal,1234623
 Serbia,105738
 Serbia Montenegro,125398
 Seychelles,5672
 Sierra Leone,255888
 Slovakia,49245
 Slovenia,14550
 Solomon Islands,90080
 Somalia,6283698
 South Africa,585456
 South Sudan,3619591
 Soviet Union,112794
 Spain,754348
 Sri Lanka,15760726
 Sudan,8754349
 Suriname,41648
 Swaziland,274900
 Sweden,13500
 Switzerland,5601
 Syrian Arab Republic,582003
 Taiwan,68389
 Tajikistan,833678
 Tanzania,1198784
 Thailand,61765064
 Timor-Leste,13636
 Togo,664660
 Trinidad and Tobago,150210
 Tunisia,332998
 Turkey,1800792
 Turkmenistan,420
 Uganda,1359461
 Ukraine,2695754
 United Arab Emirates,188
 United Kingdom,436343
 United States,12434253
 Uruguay,236733
 Uzbekistan,71550
 Vanuatu,3951
 Venezuela,2340429
 Viet Nam,32967987
 Yemen,1690227
 Yugoslavia,12000
 Zambia,5865680
 Zimbabwe,344022